,Title,Price,CPU Model,Style,Memory Storage Capacity,Switch Type,Brand,Average Battery Life (in hours),Data Transfer Rate,Manufacturer,Contact Type,Processor,Hard Drive,CPU Speed,Cover Material,Graphics Coprocessor,Domestic Shipping,Keyboard layout,Country of Origin,Series,Special Features,Item model number,Special Feature,Connectivity technologies,ASIN,Generation,Model Name,Screen Resolution,Theme,Material,Ink Color,Max Screen Resolution,Best Sellers Rank,Standing screen display size,International Shipping,Package Dimensions,Current Rating,Size,Operating Voltage,Date First Available,Cable Type,Hard Disk Size,Item Weight,Batteries,Department,Wireless Type,Material Type,Hardware Interface,Product Dimensions,Color,Number of USB 3.0 Ports,Screen Size,Item Thickness,Form Factor,RAM,Number of Keys,Connector Gender,Connector Type,Compatible Devices,Operation Mode,Manufacturer Part Number,Number of Buttons,Number of USB 2.0 Ports,Voltage,Ram Memory Installed Size,Keyboard Description,Operating System,Keyboard backlighting color support,Included Components,Water Resistance Level,Power Source,Customer Reviews,Language,Terminal,Chipset Brand,Is Discontinued By Manufacturer,Hardware Platform,Other display features,Number of Ports,Item Dimensions LxWxH,Connectivity Technology,Card Description
0,Amazon Basics Matte Black Wired Keyboard - US Layout (QWERTY),13,,Keyboard,,,Amazon Basics,,,Amazon Basics,,,,,,,,,China,,,ACI-2323-01,Multimedia Keyboard,,B07WJ5D3H4,,,,,,,,#4 in Computer Keyboards,,,,,,,"December 2, 2019",,,15.7 ounces,,,,,,17.39 x 5.01 x 1.06 inches,Black,,,,,,,,,,,,,,,,Qwerty,"Windows XP, Windows Vista, Windows 2000",,,,,"1,584 ratings
4.6 out of 5 stars",,,,,,,,17.39 x 5.01 x 1.06 inches,Wired,
1,Logitech MK545 Advanced Wireless Keyboard and Mouse Combo,54,,,,,Logitech,,,Logitech,,,,,,,,,China,,,920-008695,,,B079HR85C3,,,,,,,,#3 in Computer Keyboard & Mouse Combos,,,,,,,"December 5, 2016",,,2 pounds,2 AAA batteries required. (included),,,,,18.58 x 7.91 x 2.91 inches,Black,,,,,,,,,,,,,,,,,"Windows 7, 10, 11 or later, Chrome OS",,,,Battery Powered,"7,499 ratings
4.6 out of 5 stars",,,,No,,,,18.58 x 7.91 x 2.91 inches,,
2,Amazon Basics Matte Black Wired Keyboard - US Layout (QWERTY),13,,Keyboard,,,Amazon Basics,,,Amazon Basics,,,,,,,,,China,,,ACI-2323-01,Multimedia Keyboard,,B07WJ5D3H4,,,,,,,,#4 in Computer Keyboards,,,,,,,"December 2, 2019",,,15.7 ounces,,,,,,17.39 x 5.01 x 1.06 inches,Black,,,,,,,,,,,,,,,,Qwerty,"Windows XP, Windows Vista, Windows 2000",,,,,"1,584 ratings
4.6 out of 5 stars",,,,,,,,17.39 x 5.01 x 1.06 inches,Wired,
3,Redragon S101 Wired Gaming Keyboard and Mouse Combo RGB Backlit Gaming Keyboard with Multimedia Keys Wrist Rest and Red Backlit Gaming Mouse 3200 DPI for Windows PC Gamers (Black),35,,,,,Redragon,,,Redragon,,,,,,,,,,,,S101,,,B00NLZUM36,,,,,,,,"#49 in Video Games (See Top 100 in Video Games)
#1 in Mac Gaming Keyboards
#1 in PC Gaming Keyboards",,,,,,,"September 16, 2014",,,2.16 pounds,,,,,,17.91 x 7.2 x 0.91 inches,Black,,,,,,114,,,,,,,,,,,"Linux, Win xp, Win 2000, Win vista, Win7, Win8",,,,,"39,396 ratings
4.6 out of 5 stars",,,,No,,,,,Wired,
4,Logitech Wireless Combo MK270,27,,,,,Logitech,,,Logitech,,,,,,,,,China,MK270,,920-008813,,,B079JLY5M5,,,,,,,,#1 in Computer Keyboard & Mouse Combos,,,,,,,"April 1, 2018",,,1.05 pounds,2 AAA batteries required. (included),,,,,20.08 x 6.22 x 1.81 inches,Black,,,,,,,,,,,,,,,,,"Windows 10, 11 or later, Chrome OS",,,,Battery Powered,"66,403 ratings
4.6 out of 5 stars",,,,No,,,,20.08 x 6.22 x 1.81 inches,Wireless,
5,"Manhattan Wired Computer Keyboard, Black – Basic Keyboard - with 5ft USB-A Cable, 104-keys, Foldable Stands - Compatible for Windows, PC, Laptop - 3 Year Warranty - 179324",11,,,,,Manhattan Products,,,Manhattan,,,,,,,,,,,,179324-UK,Foldable,,B07RQVB3HQ,,,,,,,,#15 in Computer Keyboards,,,17.95 x 5.79 x 1.3 inches,,,,"May 14, 2019",,,14.4 ounces,,,,,,,Black,,,,,,104,,,"Laptop, PC",,,104,,,,Ergonomic,,,,,,"4,602 ratings
4.1 out of 5 stars",,,,,,,,,Wired,
6,"Wireless Keyboard Mouse Combo, cimetech Compact Full Size Wireless Keyboard and Mouse Set 2.4G Ultra-Thin Sleek Design for Windows, Computer, Desktop, PC, Notebook, Laptop - Silver",33,,,,,Cimetech,,,cntorich,,,,,,,,,,,,,,,B07YF98LDJ,,,,,,,,#62 in Computer Keyboard & Mouse Combos,,,14.92 x 5.75 x 1.85 inches,,,,"September 26, 2019",,,1.34 pounds,,,,,,,Silver,,,,,,,,,,,,,,,,,"Windows xp, Windows 8, Windows vista, Windows 7, Windows 10",,,,Battery Powered,"5,463 ratings
4.3 out of 5 stars",,,,,,,,,USB,
7,"Verbatim Slimline Full Size Wired Keyboard USB Plug-and-Play - Compatible with PC, Laptop - Black",9,,Wired Keyboard,,,Verbatim,,,"Verbatim America, LLC",,,,,,,,,China,Slimline,,99201,,,B017M4IX8W,,,,,Other,,,#13 in Computer Keyboards,,,,,,,"October 30, 2015",,,15.2 ounces,,Keyboards/Input Devices,,,,17.52 x 5.71 x 0.98 inches,BLACK,,,,,,,,,PC,,,,,,,Cable,"Mac os x puma, Windows XP, Windows Vista, Windows 7",,Slimline Corded USB Keyboard,,,"5,608 ratings
4.4 out of 5 stars",,,,No,PC,,,17.52 x 5.71 x 0.98 inches,USB 2.0,
8,"Gaming Keyboard USB, Quiet Metal Rainbow Computer Keyboard with Wrist Rest - Dacoity Wired Light Up LED Gaming Keyboard, Multimedia Keys, 19 Keys Anti-ghosting Keyboard for PC/Mac Game/PS4/5/Office",24,,,,,Dacoity,,,Dacoity,,,,,,,,,,,,,"Tenkeyless, Ergonomic, Waterproof, Rainbow LED Backlit",,B09W9BCK4V,,,,,"Silicone, Metal",,,,,,17.52 x 8.11 x 1.42 inches,,,,"March 23, 2022",,,2.36 pounds,,,,,,,,,,,,,,,,"Laptop, PC, Computer, Mac, PS 4, PS 5,Xbox",,,19,,,,Membrane,Compatible with Windows 95 /98 /XP /2000 /2003 /XP /ME /VISTA /7 /8 /10 and Mac OS,,Keycap Puller,,,"1 rating
5.0 out of 5 stars",,,,,,,,,Wired,
9,"NPET K10 Gaming Keyboard, LED Backlit, Spill-Resistant Design, Multimedia Keys, Quiet Silent USB Membrane Keyboard for Desktop, Computer, PC (Black)",19,,Keyboard Only,,,NPET,,,NPET,,,,,,,,,China,,,FBA_HY-ECCAK,Gaming Keyboard for Gaming or Working,,B01ALLT2W4,,FBA_HY-ECCAK,,,,,,"#336 in Video Games (See Top 100 in Video Games)
#10 in PC Gaming Keyboards",,,,,,,"January 14, 2016",,,1.32 pounds,,,,,,17.32 x 5.51 x 0.98 inches,Black,,,,,,104,,,Compatible with Windows 95/98/XP/2000/ME/VISTA/7/8/10 and Mac OS,,,,,,,Gaming,,,Keycap Puller,,,"15,611 ratings
4.5 out of 5 stars",,,,No,,,,,USB,
10,Logitech MK545 Advanced Wireless Keyboard and Mouse Combo,54,,,,,Logitech,,,Logitech,,,,,,,,,China,,,920-008695,,,B079HR85C3,,,,,,,,#3 in Computer Keyboard & Mouse Combos,,,,,,,"December 5, 2016",,,2 pounds,2 AAA batteries required. (included),,,,,18.58 x 7.91 x 2.91 inches,Black,,,,,,,,,,,,,,,,,"Windows 7, 10, 11 or later, Chrome OS",,,,Battery Powered,"7,499 ratings
4.6 out of 5 stars",,,,No,,,,18.58 x 7.91 x 2.91 inches,,
11,"Backlit Wired Ergonomic Keyboard USB Split Keyboard with Wrist Rest and Comfortable Typing, 104 Keys, 10 Shortcuts, 5.2ft USB Cable for Windows, Mac and Laptop PC Computer",49,,Backlit Wired Ergonomic Keyboard,,,TANNSEN,,,TANNSEN,,,,,,,,,,,,,背光,,B09P85LLHB,,,,,,,,#274 in Computer Keyboards,,,,,,,"December 27, 2021",,,2.72 pounds,,,,,,20 x 11 x 1.14 inches,,,,,,,104,,,"Windows, Mac and Laptop PC Computer with USB Interfaces",,,,,,,Wired,,Single Color,USB 电缆,,,"45 ratings
4.0 out of 5 stars",,,,,,,,20 x 11 x 1.14 inches,USB,
12,Razer Cynosa Chroma Gaming Keyboard: Individually Backlit RGB Keys - Spill-Resistant Design - Programmable Macro Functionality - Quiet & Cushioned,39,,Cynosa Chroma,,,Razer,,,Razer Inc.,,,,,,,,,China,RAZER USA LTD,,RZ03-02260200-R3U1,Lighting,,B075KMZ4MX,,,,,,,,"#249 in Video Games (See Top 100 in Video Games)
#4 in PC Gaming Keyboards",,,,,,,"October 26, 2017",,,2.09 pounds,1 Lithium ion batteries required.,,,,,18.24 x 6.07 x 1.22 inches,Black,,,,,,104,,,Gaming Console,,,,,,,QWERTY,,,Gaming keyboard,,,"17,455 ratings
4.7 out of 5 stars",,,,No,PC,,,18.24 x 6.07 x 1.22 inches,Wired,
13,"Computer Keyboard Wired, Plug Play USB Keyboard, Low Profile Chiclet Keys, Large Number Pad, Caps Indicators, Foldable Stands, Spill-Resistant, Anti-Wear Letters for Windows Mac PC Laptop, Full Size",$9.99,,Classic,,,COLIKES,,,COLIKES,,,,,,,,,China,,,CL206,"Waterproof,Travel",,B09NLS9TK4,,Wired Computer Keyboard,,,Rubber,,,#30 in Computer Keyboards,,,17.45 x 5.95 x 1.18 inches,,,,"December 14, 2021",,,1.17 pounds,,,,,,,,,,,,,104,,,PC/Mac/Laptop/TV/Console,,,,,,,Wired Computer Keyboard,,,User Manual,,,"67 ratings
4.2 out of 5 stars",,,,,,,,,Plug Play Wired USB,
14,Logitech MK570 Wireless Wave Keyboard and Mouse Combo,$64.99,,,,,Logitech,,,Logitech,,,,,,,,,China,MK570,,920-008001,,,B0725X7NSJ,,,,,,,,#2 in Computer Keyboard & Mouse Combos,,,,,,,"May 24, 2017",,,1.1 pounds,4 AA batteries required. (included),,,,,30 x 5 x 12 inches,,,,,,,,,,,,,,,,,,"Windows 10, 11 or later",,,,,"5,818 ratings
4.6 out of 5 stars",,,,No,PC,,,30 x 5 x 12 inches,USB,
15,"Logitech MX Keys Advanced Wireless Illuminated Keyboard, Tactile Responsive Typing, Backlighting, Bluetooth, USB-C, Apple macOS, Microsoft Windows, Linux, iOS, Android, Metal Build - Graphite",119,,MX Keys Keyboard,,,Logitech,,,Logitech,,,,,,,,,China,,,920-009294,"Wireless, Lighting",,B07S92QBCJ,,,,,Metal,,,#1 in Computer Keyboards,,,17.8 x 5.79 x 1.61 inches,,,,"September 4, 2019",,,1.9 pounds,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,104,,,,,,,,,,QWERTY,"Windows 10, 11 or later, Linux, Chrome OS, macOS, iPadOS, Android",,,,,"11,795 ratings
4.7 out of 5 stars",,,,,"Laptop, PC, Linux",,,,Wireless,
16,"Gaming Keyboard RGB USB Wired Rainbow Keyboards Designed for PC Gamers, PS4, PS5, Laptop, Xbox, Nintendo Switch, Orzly - RX-250 Hornet Edition (Black) Brand: Orzly",24,,,,,Orzly,,,Orzly,,,,,,,,,,,,,"Ergonomic, Backlit, Foldable",,B08KYFR6MB,,,,,,,,"#514 in Video Games (See Top 100 in Video Games)
#19 in PC Gaming Keyboards",,,17.6 x 5.67 x 1.34 inches,,,,"August 11, 2021",,,1.26 pounds,,,,,,,BLACK,,,,,,19,,,"Laptop, Gaming Console, PC",,,19,,,,Gaming,,,,,,"396 ratings
4.3 out of 5 stars",,,,,,,,,USB,
17,"Logitech K270 Wireless Keyboard for Windows, 2.4 GHz Wireless, Full-Size, Number Pad, 8 Multimedia Keys, 2-Year Battery Life, Compatible with PC, Laptop",19,,Keyboard K270,,,Logitech,,,,,2.4 GHz,,,,,,,,Logitech K270 Keyboard,,,,,,,,,,,,,#8 in Computer Keyboards,,,,,,,,,,,,,2.4 GHz Radio Frequency,,,,Without Mouse,,,,,,104,,,Laptop,,,,,,,"Wireless, QWERTY",,,,,,"4,182 ratings
4.5 out of 5 stars",English,,,,,,,0.75 x 5.75 x 17.25 inches,Wireless,
18,"Apple Magic Keyboard with Numeric Keypad - US English, Includes Lighting to USB Cable, White",129,,US English,,,Apple,,,,,,,,,,,,,,,,"Wireless, Bluetooth, Lightning to USB Cable, Rechargeable",,,,Magic Keyboard,,,,,,,,,,,,,,,,,,,,,,,White,,,,,,109,,,"IPhone, iPad, Mac, iPod",,,,,,,Standalone,,,"Magic Keyboard with Numeric Keypad, Lightning to USB Cable",,,,,,,,,,,,"Wireless, Bluetooth, Lightning to USB Cable",
19,"Logitech G213 Prodigy Gaming Keyboard, LIGHTSYNC RGB Backlit Keys, Spill-Resistant, Customizable Keys, Dedicated Multi-Media Keys – Black",44,,,,,Logitech G,,,Logitech,,,,,,,,,China,G213,,920-009284,Lighting,,B07QGHK6Q8,,,,,,,,"#207 in Video Games (See Top 100 in Video Games)
#3 in PC Gaming Keyboards",,,,,,,"March 2, 2020",,,2.42 pounds,1 Lithium ion batteries required. (included),,,,,8.58 x 17.8 x 1.3 inches,Black,,,,,,104,,,PC,,,,,,,Gaming,,Single Color,Usb_cable,,,"3,262 ratings
4.6 out of 5 stars",,,,,PC,,,8.58 x 17.8 x 1.3 inches,"Wired, USB",
20,"Amazon Basics Wired Keyboard, Keyboard only (1-Pack)",20,,Keyboard only (1-Pack),,,Amazon Basics,,,Amazon Basics,,,,,,,,,China,"Amazon Basics Wired Keyboard, Keyboard only (1-Pack)",,K3069U001,,,B005EOWBHC,,,,,,,,#114 in Computer Keyboards,,,,,,,"October 1, 2011",,,1.15 pounds,,,,,,18 x 5.5 x 1 inches,Black,,,,,,110,,,,,,110,,,,Qwerty,"Windows XP, Windows Vista, Windows 2000",,,,,"12,487 ratings
4.5 out of 5 stars",,,,No,,,,18 x 5.5 x 1 inches,Wired,
21,"Logitech MX Keys Advanced Wireless Illuminated Keyboard, Tactile Responsive Typing, Backlighting, Bluetooth, USB-C, Apple macOS, Microsoft Windows, Linux, iOS, Android, Metal Build - Graphite",119,,MX Keys Keyboard,,,Logitech,,,Logitech,,,,,,,,,China,,,920-009294,"Wireless, Lighting",,B07S92QBCJ,,,,,Metal,,,#1 in Computer Keyboards,,,17.8 x 5.79 x 1.61 inches,,,,"September 4, 2019",,,1.9 pounds,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,104,,,,,,,,,,QWERTY,"Windows 10, 11 or later, Linux, Chrome OS, macOS, iPadOS, Android",,,,,"11,795 ratings
4.7 out of 5 stars",,,,,"Laptop, PC, Linux",,,,Wireless,
22,"Gaming Keyboard RGB USB Wired Rainbow Keyboards Designed for PC Gamers, PS4, PS5, Laptop, Xbox, Nintendo Switch, Orzly - RX-250 Hornet Edition (Black) Brand: Orzly",24,,,,,Orzly,,,Orzly,,,,,,,,,,,,,"Ergonomic, Backlit, Foldable",,B08KYFR6MB,,,,,,,,"#514 in Video Games (See Top 100 in Video Games)
#19 in PC Gaming Keyboards",,,17.6 x 5.67 x 1.34 inches,,,,"August 11, 2021",,,1.26 pounds,,,,,,,BLACK,,,,,,19,,,"Laptop, Gaming Console, PC",,,19,,,,Gaming,,,,,,"396 ratings
4.3 out of 5 stars",,,,,,,,,USB,
23,"Compressed Air Duster, 40000 RPM Electric Air Duster 3-Gear Speed 6000 mAh Portable Rechargeable Laptop Cleaner, Keyboard Cleaner, Dust Cleaner, Computer Cleaner",52,,,,,Qinkada,,,Qinkada,,,,,,,,,,,,Compressed Air,,,B09WH7JRG7,,,,,,,,"#57,596 in Office Products (See Top 100 in Office Products)
#129 in Compressed Air Dusters
#7,371 in Office Electronics Products",,,,,,,"March 25, 2022",,,1.37 pounds,,,,"ABS, TPU, Al alloy",,8.07 x 4.72 x 2.95 inches,,,,,,,,,,,,Qinkada-Compressed Air,,,,,,,,,,,,,,,,,,,,,
24,Arteck 2.4G Wireless Keyboard Stainless Steel Ultra Slim Full Size Keyboard with Numeric Keypad for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8/ 7 Built in Rechargeable Battery,27,,,,,Arteck,,,Arteck,,,,,,,,,,,,HW192,Wireless,,B07D34L57F,,,,,Stainless Steel,,,#3 in Computer Keyboards,,,,,,,"May 15, 2018",,,14.9 ounces,1 Lithium ion batteries required. (included),,,,,16.85 x 4.92 x 0.55 inches,Black,,,,,,110,,,"Laptop, Smart TV, PC",,,,,,,Ergonomic,Windows 10,,,,,"21,552 ratings
4.5 out of 5 stars",,,,No,,,,16.85 x 4.92 x 0.55 inches,Wireless,
25,SteelSeries Apex 3 RGB Gaming Keyboard – 10-Zone RGB Illumination – IP32 Water Resistant – Premium Magnetic Wrist Rest (Whisper Quiet Gaming Switch),49,,Whisper Quiet – Tactile & Silent,,,SteelSeries,,,SteelSeries,,,,,,,,,China,,,64812,"Water,Magnetic",,B07ZGDPT4M,,,,,,,,"#509 in Video Games (See Top 100 in Video Games)
#18 in PC Gaming Keyboards",,,,,,,"January 15, 2020",,,2.79 pounds,,,,,,5.94 x 17.52 x 1.57 inches,Whisper Quiet – Tactile & Silent,,,,,,104,,,Gaming Console,,,,,,,Gaming,Playstation_4,,,,,"12,531 ratings
4.7 out of 5 stars",,,,,PC,,,5.94 x 17.52 x 1.57 inches,,
26,Amazon Basics USB Wired Computer Keyboard and Wired Mouse Bundle Pack,18,,,,,Amazon Basics,,,Amazon Basics,,,,,,,,,China,,,K69M29U01,,,B00B7GV802,,,,,,,,#15 in Computer Keyboard & Mouse Combos,,,,,,,"June 1, 2013",,,1.15 pounds,,,,,,18.03 x 5.58 x 1 inches,Black,,,,,,,,,,,,,,,,,"Windows xp, Windows vista, Windows 2000",,,,,"8,585 ratings
4.5 out of 5 stars",,,,No,,,,18.03 x 5.58 x 1 inches,Wired,
27,"Havit Mechanical Keyboard, Wired Compact PC Keyboard with Number Pad Red Switch Mechanical Gaming Keyboard 89 Keys for Computer/Laptop (Black)",39,,Retro,,,Havit,,,havit,,,,,,,,,China,,,KB487L-US,"Mechanical Red Switches, Compact Size Keyboard with Numpad, For Office Work and PC Gaming",,B085ZDXGZW,,HV-KB487L,,,,,,"#285 in Video Games (See Top 100 in Video Games)
#7 in PC Gaming Keyboards
#13 in Mac Accessories",,,15.75 x 6.97 x 1.93 inches,,,,"March 17, 2020",,,2.38 pounds,,,,,,,Black,,,,,,89,,,"Windows XP, Windows VISTA, Windows 8, Windows 7, Windows 10",,,,,,,Mechanical Keyboard for Gaming and Office Work Typing,,,Usb_cable,,,"2,038 ratings
4.4 out of 5 stars",,,,,,,,,USB Wired,
28,Dell Wired Keyboard - Black KB216 (580-ADMT),20,,,,,Dell,,,"Dell Marketing USA, LP",,,,,,,,,,KB216-BK-US,,580-ADMT,Ergonomic,,B00ZYLMQH0,,,,,,,,#17 in Computer Keyboards,,,,,,,"August 1, 2015",,,1.11 pounds,,Keyboards/Input Devices,,,,17.39 x 5.01 x 0.96 inches,Black,,,,,,104,,,PC,,,,,,,Gaming,,Single Color,"Keyboard, Manual",,,"17,811 ratings
4.6 out of 5 stars",,,,No,PC,,,17.39 x 5.01 x 0.96 inches,Wired,
29,Logitech K350 Wireless Wave Ergonomic Keyboard with Unifying Wireless Technology - Black,29,,,,,Logitech,,,,,,,,,,,,,K350 Wireless Keyboard,,,"Ergonomic, Split Keyset Design",,,,,,,,,,#2 in Computer Keyboards,,,,,,,,,,,,,2.4 GHz Radio Frequency,,,,Black,,,,,,120,,,Wireless,,,,,,,QWERTY,,Single Color,…,,,"19,762 ratings
4.6 out of 5 stars",,,,,,,,,Wireless,
30,"Rii RK400 RGB Gaming Keyboard and Mouse Combo ,Wired Mechanical Feel 3-LED Backlit Keyboard,104 Keys USB Ergonomic Wrist Rest Keyboard,6 Button RGB Mouse for Windows Gamer Desktop, Computer (Black)",14,,,,,Rii,,,Rii,,,,,,,,,,,,,"Ergonomic, Backlit, Wrist Rest, Foldable, Water Resistant",,B08HPS3RWK,,,,,,,,"#1,009 in Video Games (See Top 100 in Video Games)
#65 in PC Gaming Keyboards",,,17.48 x 9.65 x 2.05 inches,,,,"September 9, 2020",,,1.94 pounds,,,,,,,Black,,,,,,104,,,PC,,,104,,,,Gaming,"Linux, Windows 8, Windows 7, Windows 95, Mac OS, Windows 2000, Windows 10",,,,,"541 ratings
4.3 out of 5 stars",,,,,,,,,USB,
31,Logitech K120 USB Wired Standard Keyboard,25,,,,,Logitech,,,Logitech,,,,,,,,,,,,2229310,Noise canceling,,B00P7Z7SXU,3rd Generation,,,,,,,#27 in Computer Keyboards,,,,,,,"October 10, 2014",,,6 ounces,,,,,,1.1 x 18.43 x 7.17 inches,Black,,,,,,,,,,,,,,,,Membrane,,,,,,"700 ratings
4.6 out of 5 stars",,,,No,,,,1.1 x 18.43 x 7.17 inches,Wired,
32,"JIKIOU Basics Black Wired Keyboard USB for Mac and PC, Laptop, Computer, Windows10/8/7 / Vista/XP, with 4.26ft USB-A Cable, 104-keys, 2 Pack",9,,,,,JIKIOU,,,JIKIOU,,,,,,,,,China,,,,Wired,,B09N8VNV9S,,Wired keyboards,,,,,,"#1,449 in Computer Keyboards",,,,,,,"January 31, 2022",,,1 pounds,,,,,,17.32 x 5 x 1.18 inches,Black,,,,,,104,,,Laptop,,,,,,,Office,,Single Color,USB Cable,,,,,,,,,,,,USB-A,
33,"Computer Keyboard Wired, Plug Play USB Keyboard, Low Profile Chiclet Keys, Large Number Pad, Caps Indicators, Foldable Stands, Spill-Resistant, Anti-Wear Letters for Windows Mac PC Laptop, Full Size",$9.99,,Classic,,,COLIKES,,,COLIKES,,,,,,,,,China,,,CL206,"Waterproof,Travel",,B09NLS9TK4,,Wired Computer Keyboard,,,Rubber,,,#30 in Computer Keyboards,,,17.45 x 5.95 x 1.18 inches,,,,"December 14, 2021",,,1.17 pounds,,,,,,,,,,,,,104,,,PC/Mac/Laptop/TV/Console,,,,,,,Wired Computer Keyboard,,,User Manual,,,"67 ratings
4.2 out of 5 stars",,,,,,,,,Plug Play Wired USB,
34,"LANGTU Membrane Gaming Keyboard, Rainbow LED Backlit Quiet Keyboard for Office, USB Wired All-Metal Panel 25 Keys Anti-ghosting Computer Keyboard 104 Keys - L1 White/Silver…",25,,,,,LANGTU,,,Shine Star Gaming,,,,,,,,,China,,,,"Lighting, Water Resistant",,B07QV839G5,,L1,,,,,,"#726 in Video Games (See Top 100 in Video Games)
#10 in Mac Gaming Keyboards
#36 in PC Gaming Keyboards",,,,,,,"April 19, 2019",,,1.54 pounds,,,,,,17.7 x 5 x 1.2 inches,White,,,,,,104,,,Gaming Console,,,,,,,Membrane,,Single Color,Keycap_puller usb_cable,,,"4,742 ratings
4.6 out of 5 stars",,,,,,,,,Wired,
35,"BENGOO Gaming Keyboard, RGB LED Rainbow Backlit Small Wired Keyboard with 89 Keys and Multimedia Shortcus,Mechanical Feeling Keyboard with 25 Anti-ghosting Keys for Computer Gamer PC Mac",22,,,,,BENGOO,,,BENGOO,,,,,,,,,,,,,"Ergonomic, Backlit",,B098P12TWC,,,,,Acrylonitrile Butadiene Styrene,,,"#1,433 in Video Games (See Top 100 in Video Games)
#4 in Game Boy Advance Accessories
#5 in Sega Genesis Accessories
#6 in Super Nintendo Accessories",,,,,,,"July 5, 2021",,,1.59 pounds,,,,,,14.57 x 5.91 x 1.18 inches,,,,,,,25,,,PC,,,89,,,,Gaming,,,,,,"290 ratings
4.4 out of 5 stars",,,,,"Sega Genesis, Laptop, PC, Super Nintendo, Game Boy Advance",,,14.57 x 5.91 x 1.18 inches,Wired,
36,"Lovaky MK98 Wireless Keyboard, 2.4G Ergonomic Wireless Computer Keyboard, Enlarged Indicator Light, Full Size PC Keyboard with Numeric Keypad for Laptop, Desktop, Surface, Chromebook, Notebook, Black",17,,Modern Simplicity Wireless Keyboard,,,Lovaky,,,Lovaky,,,,,,,,,,,,,"2.4 G Wireless,8° tilt adjustable holder",,B09KZGY5TK,,,,,,,,#43 in Computer Keyboards,,,,,,,"November 4, 2021",,,1.23 pounds,,,,,,17.36 x 6.02 x 0.94 inches,Black,,,,,,104,,,"Laptop, Chromesbook, PC, Computer, Surface",,,,,,,Multifunctional Computer Wireless Keyboard,,Single Color,,,,"231 ratings
4.5 out of 5 stars",,,,,,,,17.36 x 6.02 x 0.94 inches,2.4G Wireless USB,
37,"Wireless Keyboard and Mouse Combo, Loigys Full-Sized 2.4GHz Wireless Keyboard with Comfortable Palm Rest and Optical Wireless Mouse for Windows, Mac OS PC/Desktops/Computer/Laptops",$31.99,,,,,Loigys,,,Loigys,,,,,,,,,,,,,,,B09N6VYHTX,,,,,,,,#9 in Computer Keyboard & Mouse Combos,,,,,,,"January 10, 2022",,,1.7 pounds,,,,,,17.52 x 7.35 x 0.79 inches,,,,,,,104,,,,,,,,,,,"Linux, Chrome OS, Windows, Mac OS",,,,Battery Powered,"148 ratings
4.3 out of 5 stars",,,,,,,,,USB,
38,"RK ROYAL KLUDGE Typewriter Style Mechanical Gaming Keyboard with True RGB Backlit Collapsible Wrist Rest 108-Key Blue Switch Retro Round Keycap, Black",66,,,,,RK ROYAL KLUDGE,,,DoubleW,,,,,,,,,,,,,Lighting,,B07XVCP7F5,,,,,Aluminum,,,"#290 in Video Games (See Top 100 in Video Games)
#3 in Mac Gaming Keyboards
#8 in PC Gaming Keyboards",,,,,,,"September 13, 2019",,,2.49 pounds,,,,,,17.32 x 7.17 x 1.65 inches,Black,,,,,,108,,,PC,,,,,,,Gaming,,,USB Cable,,,"3,570 ratings
4.7 out of 5 stars",,,,No,,,,17.32 x 7.17 x 1.65 inches,Wired,
39,"Wireless Keyboard Mouse Combo, cimetech Compact Full Size Wireless Keyboard and Mouse Set 2.4G Ultra-Thin Sleek Design for Windows, Computer, Desktop, PC , Notebook - (Grey)",34,,,,,Cimetech,,,cntorich,,,,,,,,,,,,,,,B088CQTMY9,,,,,,,,#27 in Computer Keyboard & Mouse Combos,,,15 x 5.87 x 1.73 inches,,,,"May 9, 2020",,,1.37 pounds,,,,,,,Grey,,,,,,,,,,,,,,,,,"Windows xp, Windows 8, Windows vista, Windows 7, Windows 10",,,,Battery Powered,"5,463 ratings
4.3 out of 5 stars",,,,,,,,,USB,
40,"Redragon K552 Mechanical Gaming Keyboard Rainbow LED Backlit Wired with Anti-Dust Proof Switches for Windows PC (Black, 87 Keys Blue Switches)",38,,,,,Redragon,,,Redragon,,,,,,,,,China,,,,Non-slip,,B09FYDLFWF,,,,,"Acrylonitrile Butadiene Styrene, Metal",,,"#1,811 in Video Games (See Top 100 in Video Games)
#23 in Mac Gaming Keyboards
#114 in PC Gaming Keyboards",,,,,,,"September 10, 2021",,,2.27 pounds,,,,,,13.94 x 4.86 x 1.46 inches,Black,,,,,,,,,PC,,,87,,,,Gaming,,,,,,"33,895 ratings
4.5 out of 5 stars",,,,,,,,13.94 x 4.86 x 1.46 inches,USB,
41,"Rainbow LED Backlit 87 Keys Gaming Keyboard, Compact Keyboard with 12 Multimedia Shortcut Keys USB Wired Keyboard for PC Gamers Office",13,,,,,Lumsburry,,,Lumsburry,,,,,,,,,,,,keyboard-968,Backlit,,B07THJFXJN,,,,,,,,"#1,599 in Video Games (See Top 100 in Video Games)
#99 in PC Gaming Keyboards",,,,,,,"June 25, 2019",,,1.39 pounds,,,,,,14.57 x 6.69 x 1.18 inches,Black Compact Keyboard,,,,,,88,,,PC,,,88,,,,Gaming,,,USB Cable,,,"1,857 ratings
4.4 out of 5 stars",,,,No,,,,14.57 x 6.69 x 1.18 inches,Wired,
